product_id,brand,title,price,category,rating,image_url,product_url
B07ZMTXJFV,Skechers,600 Spikeless Golf Sandals womens Golf Shoe,235.96,Outlet,4.6,https://m.media-amazon.com/images/I/51OPxXnVmKL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07ZMTXJFV
B08H4LN33Z,NAPA HIDE,India Leather Men's Wallet (Brown),20.0,Outlet,4.0,https://m.media-amazon.com/images/I/912h6ou9-xL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08H4LN33Z
B0DHS3G333,infino," Men's Cotton Athletic Socks - Cushioned, Moisture-Wicking, Anti-Odor, Ankle-Length Sport Socks for Mens, 3-Pack in Classic Colors (Black, White, Gray)",33.99,Sportswear,4.3,https://m.media-amazon.com/images/I/71S3TmDH22L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DHS3G333
B07Y32PKCR,Timberland PRO,PRO mens Wicking Good Hoodie Hooded Sweatshirt,53.2,Outlet,4.6,https://m.media-amazon.com/images/I/51ablnW+xeL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07Y32PKCR
B0CXML7NJS,Canterbury,Stamped Grndbrk Team unisex-adult Boots,311.18,Shoes,4.5,https://m.media-amazon.com/images/I/51ofklEUUxL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CXML7NJS
B0CWTXGC8H,NALACAL,"Women's Canvas Tote Purse, Work Shoulder Crossbody Bags, Vintage Multi-pocket Handbags, Casual Multi Pocket Crossbody Tote Bag, for Women for Shopping Travel Work",53.82,Handbags,3.5,https://m.media-amazon.com/images/I/71xoMe+0iiL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CWTXGC8H
B0DT3YMDMZ,Amazfit,"Amazfit Active 2 Smart Watch 44mm, 10 Day Battery, Fitness Tracker, Sleep Monitor, GPS Maps, 160+ Sport Modes, Water Resistant, for Android & Apple iPhone, Sapphire Glass, Black Leather Strap",505.0,Watches,4.4,https://m.media-amazon.com/images/I/71XpjL4qkPL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DT3YMDMZ
B0848W1SRC,Tommy Hilfiger,"BANK Men Watch, Analog",308.77,Watches,4.3,https://m.media-amazon.com/images/I/81T+pY7rgjL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0848W1SRC
B07F9VP9QM,YouBella,Stylish Latest Traditional Jewellery Silver Plated Choker Necklace For Women (White)(Ybnk_5502),29.0,Outlet,4.0,https://m.media-amazon.com/images/I/61g4uh+5k5L._AC_UL320_.jpg,https://www.amazon.ae/dp/B07F9VP9QM
B0CY55QCRT,Generic,Woven Padded Cassette Crossbody Trend Shoulder Bag for Women Clutch Bag Square Purse Hand Bag,77.66,Handbags,5.0,https://m.media-amazon.com/images/I/41fsu5I9gAL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CY55QCRT
B077XNMSPS,Under Armour,mens Ua Tech 2.0 Ss T-shirt,100.69,New season,4.5,https://m.media-amazon.com/images/I/41XI7sUCI2S._AC_UL320_.jpg,https://www.amazon.ae/dp/B077XNMSPS
B0D93N4KFL,Homarket,Tote Satchel Handbags Purses for Women Top Handle Totes Purse With Matching Wallet Shoulder Handbag Tote Bags for Women (Black),69.69,Handbags,2.0,https://m.media-amazon.com/images/I/71DeolMwn2L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D93N4KFL
B0DHCVQV3G,Oasisgalore,Oasisgalore Business Men's Clutch bag Leather Wallets Large Long Organizer 2 Zipper Purse,62.99,Wallets,5.0,https://m.media-amazon.com/images/I/61ekGNJV94L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DHCVQV3G
B0C4N6MWZ9,APAFES,Women Summer Cotton Linen Short Sets 2 Piece Shorts Top Lounge Beach Vacation Two Piece Outfits Tracksuits,30.11,New season,3.9,https://m.media-amazon.com/images/I/81eV1GAhAcL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C4N6MWZ9
B099669T7Y,KRAVE,Crepe Fit and Flare Casual Dress,19.4,Made for Amazon,3.7,https://m.media-amazon.com/images/I/71+TIwrepfL._AC_UL320_.jpg,https://www.amazon.ae/dp/B099669T7Y
B06XKXTDLS,PUMA,Socks Men's Low Cut Socks,52.0,Most-Loved Fashion,4.6,https://m.media-amazon.com/images/I/81WD3Aw5-ZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B06XKXTDLS
B0F26LWHH6,Surenow,Mens Casual Shorts Running Gym Shorts Drawstring Elastic Waist Shorts Stretch Summer Beach Shorts with Zipper Pockets,71.98,Sportswear,4.5,https://m.media-amazon.com/images/I/71C0pgTtXoL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0F26LWHH6
B001R4C920,Jefferies Socks,Boys Seamless Toe Athletic Crew 6-pack,60.55,Most-Loved Fashion,4.4,https://m.media-amazon.com/images/I/81iU6U5HkEL._AC_UL320_.jpg,https://www.amazon.ae/dp/B001R4C9
B087YZ3G9D,Casio,W800HG Series | Mens Digital Watch | 100 Meter Water Resistance | Multi Function Alarm | 100 SEC Stopwatch | Auto Calendar | Countdown Timer | LED Light | Dual Time| 10 Year Battery,97.0,Watches,4.5,https://m.media-amazon.com/images/I/51fjYK6GjgL._AC_UL320_.jpg,https://www.amazon.ae/dp/B087YZ3G9D
